screen_name	date	fav	retweet	text	url	hashtags	mencionado	hashtag
NardaLepes	Mon Sep 07 21:25:48 +0000 2020	11	0	Cosechas anuales. @Alcaucileslp 👌🏼 https://t.co/XAiiz5nIIt	https://twitter.com/NardaLepes/status/1303082061914353670	[]	@Alcaucileslp	
NardaLepes	Mon Sep 07 21:00:11 +0000 2020	2	0	@mariabelenmar @aldonzadiego Es x los cambios de temperatura y que no tiene estabilizantes. Sacala de la heladera , un poquito a baño maria tibio, y listo.	https://twitter.com/NardaLepes/status/1303075615533342723	[]	@mariabelenmar	
NardaLepes	Mon Sep 07 12:06:12 +0000 2020	7	2	@aldonzadiego Mio tambien	https://twitter.com/NardaLepes/status/1302941233770303488	[]	@aldonzadiego	
NardaLepes	Sun Sep 06 17:16:09 +0000 2020	2	0	@valeriazape @Ladob Que tambien me enseño una viejita...	https://twitter.com/NardaLepes/status/1302656848131227648	[]	@valeriazape	
NardaLepes	Fri Sep 04 18:29:32 +0000 2020	2	2	@juansklar Tengo el mio, pero tengo que terminar “nunca llegamos..,”	https://twitter.com/NardaLepes/status/1301950538968432641	[]	@juansklar	
NardaLepes	Fri Sep 04 12:22:23 +0000 2020	8	1	@emilianchamorro EBITDA, no todos te siguen ahi, explique mas apb, que a veces es la semántica y no el tema lo que aleja.	https://twitter.com/NardaLepes/status/1301858143010541569	[]	@emilianchamorro	
NardaLepes	Fri Sep 04 00:17:14 +0000 2020	226	16	Tenemos gran calidad en pescado enlatados , lleva mucho trabajo manual ... https://t.co/zytO6yWfmc	https://twitter.com/NardaLepes/status/1301675655906701312	[]		
NardaLepes	Fri Sep 04 00:10:15 +0000 2020	8	1	@alecontessi Gracias, te escribo x dm!	https://twitter.com/NardaLepes/status/1301673894668099585	[]	@alecontessi	
NardaLepes	Thu Sep 03 22:44:38 +0000 2020	27	0	@paulina_cocina @dalmaradona La 6 es rarisima, algo paso con los guiones. Despues vuelve a la normalidad.	https://twitter.com/NardaLepes/status/1301652350197694464	[]	@paulina_cocina	
NardaLepes	Thu Sep 03 21:27:05 +0000 2020	120	10	Mujeres pescadoras, conoce alguien aca alguna? Aparte de la de Tierra del fuego? https://t.co/pJLPwiCbNo	https://twitter.com/NardaLepes/status/1301632835481219073	[]		
NardaLepes	Thu Sep 03 16:39:48 +0000 2020	2	0	@sorrelita A quien seguis???	https://twitter.com/NardaLepes/status/1301560535411027968	[]	@sorrelita	
NardaLepes	Thu Sep 03 16:38:56 +0000 2020	41	0	@JuanchiBaleiron Asi reconoces un producto japones. Siempre abren bien	https://twitter.com/NardaLepes/status/1301560317592375297	[]	@JuanchiBaleiron	
NardaLepes	Thu Sep 03 14:02:30 +0000 2020	33	0	@wsosaescudero Noooo daleee. No da.	https://twitter.com/NardaLepes/status/1301520949863485443	[]	@wsosaescudero	
NardaLepes	Thu Sep 03 14:02:06 +0000 2020	68	14	Ordenar la casa, revisar placares, armar cajas o bolsas y llevar todo para que circule. https://t.co/sVQz2LcLSl	https://twitter.com/NardaLepes/status/1301520852165505027	[]		
NardaLepes	Mon Aug 31 23:14:40 +0000 2020	921	52	"31 minutos en Netflix. 
Para pequeños y grandes. Programon. Twiter es servicio. 🌸"	https://twitter.com/NardaLepes/status/1300572745663680512	[]		
NardaLepes	Mon Aug 31 21:48:36 +0000 2020	0	0	@felivald No, pero lo conozco. Brillante.	https://twitter.com/NardaLepes/status/1300551084314890240	[]	@felivald	
NardaLepes	Mon Aug 31 20:22:10 +0000 2020	4	1	@isadesebastian ☄️☄️☄️☄️☄️🥂	https://twitter.com/NardaLepes/status/1300529331723218944	[]	@isadesebastian	
NardaLepes	Mon Aug 31 16:53:56 +0000 2020	6	3	@Leonela_Cabral ❤️🏓❤️	https://twitter.com/NardaLepes/status/1300476929339019264	[]	@Leonela_Cabral	
NardaLepes	Mon Aug 31 16:11:33 +0000 2020	15	1	@pinchegorro She did	https://twitter.com/NardaLepes/status/1300466265144938498	[]	@pinchegorro	
NardaLepes	Mon Aug 31 12:28:42 +0000 2020	10	1	@iammarisssss Gracias! ❤️	https://twitter.com/NardaLepes/status/1300410180782501894	[]	@iammarisssss	
NardaLepes	Mon Aug 31 12:21:17 +0000 2020	2	0	@lalocadeltaper @claramuzzio Y te aclaro, que a nadie le gusta usar descartables. Todos buscan la mejor opcion.	https://twitter.com/NardaLepes/status/1300408314308722689	[]	@lalocadeltaper	
NardaLepes	Mon Aug 31 12:19:37 +0000 2020	0	0	@lalocadeltaper @claramuzzio No es absolutamente distinto. No se que parte te parece que es lo mismo tener 1 contacto con el cliente a tener 9 o mas...	https://twitter.com/NardaLepes/status/1300407894991613952	[]	@lalocadeltaper	
NardaLepes	Mon Aug 31 00:49:23 +0000 2020	3	0	@lalocadeltaper @claramuzzio El contacto es con las personas. Ir volver, levantar la mesa, llevar un cafe, la cuenta, servir agua.... cada ida a la mesa. De eso hablo.	https://twitter.com/NardaLepes/status/1300234191771181057	[]	@lalocadeltaper	
NardaLepes	Sun Aug 30 20:59:26 +0000 2020	4	0	@lalocadeltaper @claramuzzio Son cosas separadas, el servicio al cliente con vajilla, idas y vueltas que generan mas contacto con el personal, es lo que veo dificil de implementar ya, pone en riesgo a todo el equipo. En Diario tenemos muchos clientes que  traen su botella y tuper, Desde que abrimos.	https://twitter.com/NardaLepes/status/1300176325274144771	[]	@lalocadeltaper	
NardaLepes	Sun Aug 30 15:07:19 +0000 2020	34	2	"Al aire ya en #mesacompartida ! 
@Metro951 @nsalvarrey"	https://twitter.com/NardaLepes/status/1300087711630528512	[{'text': 'mesacompartida', 'indices': [14, 29]}]	@nsalvarrey	#mesacompartida
NardaLepes	Sat Aug 29 23:13:34 +0000 2020	125	15	Escribí esto sobre las veredas, los espacios publicos y lo que sera o no. https://t.co/XLtkA7Qw4i vía @LANACION	https://twitter.com/NardaLepes/status/1299847693209161737	[]	@LANACION	
NardaLepes	Fri Aug 28 19:51:23 +0000 2020	2	0	@liholubek Si si es mas liquida, por eso ea dificil de comercializar.	https://twitter.com/NardaLepes/status/1299434422517878791	[]	@liholubek	
NardaLepes	Fri Aug 28 19:36:02 +0000 2020	400	30	Es espectacular, varia mucho segun le region. Mas liquida, compleja. Si la ven prueben... https://t.co/osWmZupkc1	https://twitter.com/NardaLepes/status/1299430560968957952	[]		
NardaLepes	Wed Aug 26 22:41:33 +0000 2020	45	0	@macabrofandango $600	https://twitter.com/NardaLepes/status/1298752473251934213	[]	@macabrofandango	
NardaLepes	Wed Aug 26 22:19:29 +0000 2020	1	0	@ebrenman Jajaja no todo	https://twitter.com/NardaLepes/status/1298746918164672512	[]	@ebrenman	
NardaLepes	Wed Aug 26 22:19:07 +0000 2020	9	0	@ebrenman Te calmas	https://twitter.com/NardaLepes/status/1298746824749207557	[]	@ebrenman	
NardaLepes	Wed Aug 26 17:38:02 +0000 2020	0	0	@rayovirtual @emilianchamorro Lo vi!	https://twitter.com/NardaLepes/status/1298676087556317185	[]	@rayovirtual	
NardaLepes	Wed Aug 26 15:55:27 +0000 2020	0	0	@rayovirtual @nsalvarrey	https://twitter.com/NardaLepes/status/1298650272743460870	[]	@rayovirtual	
NardaLepes	Wed Aug 26 15:55:14 +0000 2020	1	0	@rayovirtual @emilianchamorro jajaj somos mas los que vemos eso (hace cuanto?)	https://twitter.com/NardaLepes/status/1298650216602783746	[]	@rayovirtual	
NardaLepes	Tue Aug 25 23:07:56 +0000 2020	10	0	@cynmoskovits @sebacampanario Por eso, los que te llenan de azucar para tapar son otros	https://twitter.com/NardaLepes/status/1298396723988041728	[]	@cynmoskovits	
NardaLepes	Tue Aug 25 22:23:33 +0000 2020	22	1	@sebacampanario Iluso	https://twitter.com/NardaLepes/status/1298385554762014721	[]	@sebacampanario	
NardaLepes	Tue Aug 25 19:37:17 +0000 2020	2	1	@emilianchamorro @FedeHeinzmann exacto	https://twitter.com/NardaLepes/status/1298343712955801606	[]	@emilianchamorro	
NardaLepes	Tue Aug 25 12:09:59 +0000 2020	4	1	@CariPert Con ciruela agria? Espectacular	https://twitter.com/NardaLepes/status/1298231145616859137	[]	@CariPert	
NardaLepes	Sun Aug 23 18:09:32 +0000 2020	1	0	@arrobaGa @Metro951 Que pan compras?	https://twitter.com/NardaLepes/status/1297596850544029696	[]	@arrobaGa	
NardaLepes	Sun Aug 23 18:08:53 +0000 2020	1	0	@MabeLepra @sebastian_250 @Metro951 Sacas del frasco , limpias la pulpa, y picas bien finita la piel, marinadas, ensaladas, kebabs, x artiba de un matambrito a la parrilla,  la clave en pequeños impactos de sabor. No grandes	https://twitter.com/NardaLepes/status/1297596689122033664	[]	@MabeLepra	
NardaLepes	Sun Aug 23 18:01:35 +0000 2020	3	1	@LauraCaggia @sebacampanario	https://twitter.com/NardaLepes/status/1297594851597463554	[]	@LauraCaggia	
NardaLepes	Sun Aug 23 17:02:42 +0000 2020	10	1	@maxireynoso84 Gracias 🧡 le ponemos muchas ganas.	https://twitter.com/NardaLepes/status/1297580033150722055	[]	@maxireynoso84	
NardaLepes	Sun Aug 23 15:01:45 +0000 2020	34	2	Arranca #mesacompartida en @Metro951 atentos a los mensajes que hoy hay premio.	https://twitter.com/NardaLepes/status/1297549595359293444	[{'text': 'mesacompartida', 'indices': [8, 23]}]	@Metro951	#mesacompartida
NardaLepes	Sun Aug 23 14:25:49 +0000 2020	3	0	@cesoaveces Me estas jodiendo? Dale, ya a esta altura sabes... daleeeee	https://twitter.com/NardaLepes/status/1297540550908874752	[]	@cesoaveces	
NardaLepes	Sat Aug 22 14:47:04 +0000 2020	32	1	@emilianchamorro Que no necesariamente tienen que ser amigos.	https://twitter.com/NardaLepes/status/1297183511003176960	[]	@emilianchamorro	
NardaLepes	Sat Aug 22 11:01:04 +0000 2020	1	0	@workforfood Check a @nntaleb from a while ago. His first flight with goggles and mask (2 of them) he knows risk.	https://twitter.com/NardaLepes/status/1297126635913785345	[]	@workforfood	
NardaLepes	Fri Aug 21 12:40:44 +0000 2020	2	0	@maru0341 @futurockOk Son muchas variables para que fincione. Primero no subestimar a los menores, que sepan hacer lentejas, y que el acercamiento tiene que ser integral, no es una sola solución, es un conjunto.	https://twitter.com/NardaLepes/status/1296789332771180544	[]	@maru0341	
NardaLepes	Fri Aug 21 12:11:07 +0000 2020	6	0	"@guslavole @sonardillas Muchos temas juntos:
No me entra en 140! Pero escribi bastante sobre esto. 
1 de cada 2 que termina la primaria tiene sobrepeso. Eso es asi, y no da."	https://twitter.com/NardaLepes/status/1296781879232921600	[]	@guslavole	
NardaLepes	Wed Aug 19 17:18:51 +0000 2020	5	0	@dzapatillas @s ❤️	https://twitter.com/NardaLepes/status/1296134546023485440	[]	@dzapatillas	
NardaLepes	Wed Aug 19 17:09:55 +0000 2020	6	0	@ebrenman Quien dijo eso?	https://twitter.com/NardaLepes/status/1296132297335414784	[]	@ebrenman	
NardaLepes	Wed Aug 19 12:50:49 +0000 2020	2	0	@wsosaescudero @anlopez1962 Same	https://twitter.com/NardaLepes/status/1296067092811259907	[]	@wsosaescudero	
NardaLepes	Wed Aug 19 12:15:54 +0000 2020	8	2	@rodoreich Racionalidad vs emoción.	https://twitter.com/NardaLepes/status/1296058305559789570	[]	@rodoreich	
NardaLepes	Tue Aug 18 22:35:05 +0000 2020	75	2	@clarincom Giorgia, USA	https://twitter.com/NardaLepes/status/1295851740403818496	[]	@clarincom	
NardaLepes	Tue Aug 18 22:32:59 +0000 2020	1655	21	Hoy vi un gorrion, hace años que no veia. Solo palomas, que me caen pésimo.	https://twitter.com/NardaLepes/status/1295851211506286592	[]		
NardaLepes	Tue Aug 18 20:02:50 +0000 2020	0	0	@eldacantu Slipers marroquies dentro de casa, 2 botas, jubile unas zapatillas...	https://twitter.com/NardaLepes/status/1295813424400793602	[]	@eldacantu	
NardaLepes	Tue Aug 18 19:14:02 +0000 2020	15	1	@eldacantu Los miro y me digo ... en que estaba pensando... todos los dias	https://twitter.com/NardaLepes/status/1295801143667437573	[]	@eldacantu	
NardaLepes	Tue Aug 18 18:01:50 +0000 2020	0	0	@emilianchamorro @LANACION Jajajaj	https://twitter.com/NardaLepes/status/1295782974114455556	[]	@emilianchamorro	
NardaLepes	Tue Aug 18 17:26:22 +0000 2020	1	1	@LANACION @emilianchamorro	https://twitter.com/NardaLepes/status/1295774051852525572	[]	@LANACION	
NardaLepes	Tue Aug 18 14:00:43 +0000 2020	8	0	@rayovirtual Que bueno que volviste. El adios me asusto.	https://twitter.com/NardaLepes/status/1295722296909467653	[]	@rayovirtual	
NardaLepes	Tue Aug 18 12:06:04 +0000 2020	1	0	@monica_aldana Dentro de poco!	https://twitter.com/NardaLepes/status/1295693444686454784	[]	@monica_aldana	
NardaLepes	Mon Aug 17 13:22:22 +0000 2020	2	1	@PabloRichly @EricTopol	https://twitter.com/NardaLepes/status/1295350257845403653	[]	@PabloRichly	
NardaLepes	Sun Aug 16 18:35:48 +0000 2020	27	1	"@rusosnith Estante de los zapatos en la entrada
Quilombo x todos lados
Reorden de alacena y ollas"	https://twitter.com/NardaLepes/status/1295066745737220106	[]	@rusosnith	
NardaLepes	Sun Aug 16 14:57:48 +0000 2020	19	2	Hablamos con el Jedi https://t.co/UJm5nqB8bA	https://twitter.com/NardaLepes/status/1295011887143432193	[]		
NardaLepes	Sat Aug 15 20:10:33 +0000 2020	3	0	@Maurelo_ @LANACION En gral es hasta el año,  x alergias. Pero puede comer! Que pruebe todo! Mi fav el jugo de los mejillones con papas fritas....	https://twitter.com/NardaLepes/status/1294728204826169344	[]	@Maurelo_	
NardaLepes	Sat Aug 15 20:03:24 +0000 2020	6	1	@nntaleb @emilianchamorro se copo y suma ...	https://twitter.com/NardaLepes/status/1294726407134875651	[]	@nntaleb	
NardaLepes	Sat Aug 15 17:39:07 +0000 2020	172	21	"Que cocinen, que prueben, que toquen y se animen. 
Paladar infantil: ¿cómo incorporar nuevos sabores? https://t.co/1ATnLUZMN9 vía @LANACION"	https://twitter.com/NardaLepes/status/1294690094524309506	[]	@LANACION	
NardaLepes	Fri Aug 14 16:13:19 +0000 2020	12	0	@edmundogs @emilianchamorro Te invito a sentarte en la mesa donde se decide el nuevo pack de una marca, o la foto de un producto. O el armado de la campaña. Te moris.....trabajo interdisciplinario es otra cosa. Opiniones al pedo otra.	https://twitter.com/NardaLepes/status/1294306116160061443	[]	@edmundogs	
NardaLepes	Fri Aug 14 14:18:51 +0000 2020	0	0	@rayovirtual @emilianchamorro Tambien, pero aca era que muchos opinando sobre algo, no rinde en gral. que no significa no escuchar.	https://twitter.com/NardaLepes/status/1294277309130825728	[]	@rayovirtual	
NardaLepes	Fri Aug 14 14:17:46 +0000 2020	2	0	@sebacampanario Same	https://twitter.com/NardaLepes/status/1294277034773020672	[]	@sebacampanario	
NardaLepes	Fri Aug 14 14:13:11 +0000 2020	4	1	@emilianchamorro Para servirle	https://twitter.com/NardaLepes/status/1294275884057231361	[]	@emilianchamorro	
NardaLepes	Fri Aug 14 13:54:29 +0000 2020	19	3	"@emilianchamorro Aca va la del camello! 
“ un camello es un caballo de carreras diseñado x un comité” . Te la uso mucho, siempre con credito."	https://twitter.com/NardaLepes/status/1294271176961908740	[]	@emilianchamorro	
NardaLepes	Fri Aug 14 12:33:14 +0000 2020	0	0	@agustinbinner @teddyjrs @Donatodesantis Es el tipo de masa, su levado y la humedad. Hay que aprender y practicar.	https://twitter.com/NardaLepes/status/1294250729755029504	[]	@agustinbinner	
NardaLepes	Fri Aug 14 12:18:45 +0000 2020	5	1	@emilianchamorro Siempre	https://twitter.com/NardaLepes/status/1294247083453616128	[]	@emilianchamorro	
NardaLepes	Fri Aug 14 03:17:33 +0000 2020	30	0	@teddyjrs @Donatodesantis Sin evaluar, pero se ven muy bien! El dorado de la de huevo me va.	https://twitter.com/NardaLepes/status/1294110885124997126	[]	@teddyjrs	
NardaLepes	Thu Aug 13 22:41:00 +0000 2020	10	1	@LauraCaggia Que lindo hornito!	https://twitter.com/NardaLepes/status/1294041290502529027	[]	@LauraCaggia	
NardaLepes	Thu Aug 13 22:18:50 +0000 2020	0	0	@daniblanco16 @origendirecto Lo envolves bien, y cada vez que lo abris, cambias el film. Heladera. Cuchillo limpio, mesada limpia etc.	https://twitter.com/NardaLepes/status/1294035713462276097	[]	@daniblanco16	
NardaLepes	Thu Aug 13 21:55:11 +0000 2020	4	0	@ValeArvejita Genial hilo	https://twitter.com/NardaLepes/status/1294029758683066371	[]	@ValeArvejita	
NardaLepes	Thu Aug 13 21:54:26 +0000 2020	1	0	@daniblanco16 @origendirecto Vino cortado , envasado? Vacio?	https://twitter.com/NardaLepes/status/1294029571801612295	[]	@daniblanco16	
NardaLepes	Thu Aug 13 21:54:09 +0000 2020	1	0	@GermanMiotti @origendirecto @daniblanco16 Tambien.... jajaj	https://twitter.com/NardaLepes/status/1294029498959233024	[]	@GermanMiotti	
NardaLepes	Thu Aug 13 21:53:28 +0000 2020	1	0	@ElPaisaLeproso 🧡	https://twitter.com/NardaLepes/status/1294029328951455744	[]	@ElPaisaLeproso	
NardaLepes	Wed Aug 12 23:42:49 +0000 2020	1	0	@ChefiizCR @FacuZelaya @mercadopago Exacto	https://twitter.com/NardaLepes/status/1293694460451328002	[]	@ChefiizCR	
NardaLepes	Wed Aug 12 22:33:27 +0000 2020	8	0	@ferosoriano @alejandroalfie Y no lo borra...	https://twitter.com/NardaLepes/status/1293677002923347968	[]	@ferosoriano	
NardaLepes	Wed Aug 12 16:52:42 +0000 2020	160	1	@dzapatillas Todo mayuscula... no ae contesta. No entiende nada. Que siga comiendo masa mojada dejalo.	https://twitter.com/NardaLepes/status/1293591249577021442	[]	@dzapatillas	
NardaLepes	Wed Aug 12 12:16:50 +0000 2020	5	1	@pedrobargero No te sorprenderias...	https://twitter.com/NardaLepes/status/1293521826774224897	[]	@pedrobargero	
NardaLepes	Tue Aug 11 19:53:52 +0000 2020	1	1	@emilianchamorro Jajajajajajajajajajajajaj	https://twitter.com/NardaLepes/status/1293274455339413504	[]	@emilianchamorro	
NardaLepes	Mon Aug 10 21:26:46 +0000 2020	18	1	@BegarthIlustra @ElGatoyLaCaja	https://twitter.com/NardaLepes/status/1292935445773516801	[]	@BegarthIlustra	
NardaLepes	Sun Aug 09 21:12:33 +0000 2020	1	0	@rodoreich @paulagut66 @mecasullo 👆🏼	https://twitter.com/NardaLepes/status/1292569481592659968	[]	@rodoreich	
NardaLepes	Sun Aug 09 21:12:10 +0000 2020	0	0	@rodoreich @mecasullo 👌🏼👌🏼👌🏼👌🏼👌🏼	https://twitter.com/NardaLepes/status/1292569382837772294	[]	@rodoreich	
NardaLepes	Sun Aug 09 18:59:57 +0000 2020	0	1	@rodoreich @mecasullo Dale, atun no...	https://twitter.com/NardaLepes/status/1292536108904075265	[]	@rodoreich	
NardaLepes	Sun Aug 09 18:47:16 +0000 2020	0	0	@capitanintriga ☄️☄️☄️☄️☄️	https://twitter.com/NardaLepes/status/1292532917508476935	[]	@capitanintriga	
NardaLepes	Sun Aug 09 15:05:56 +0000 2020	113	5	Arrancamos! https://t.co/mSeKWvdIJ0	https://twitter.com/NardaLepes/status/1292477217881182210	[]		
NardaLepes	Sat Aug 08 22:17:08 +0000 2020	0	0	@disalch ☄️	https://twitter.com/NardaLepes/status/1292223345728069632	[]	@disalch	
NardaLepes	Sat Aug 08 17:48:17 +0000 2020	23	0	@AxelKuschevatzk El nivel felicidad 1000 de Mel...	https://twitter.com/NardaLepes/status/1292155686584029186	[]	@AxelKuschevatzk	
NardaLepes	Sat Aug 08 15:10:25 +0000 2020	1	1	@capitanintriga @ESETLA @TwitterSeguro Nada que requiera la clave o acceso.	https://twitter.com/NardaLepes/status/1292115957100486656	[]	@capitanintriga	
NardaLepes	Fri Aug 07 22:39:10 +0000 2020	25	2	@emilianchamorro Si sos emprendedor, el finde medio que no cuenta.	https://twitter.com/NardaLepes/status/1291866501314678786	[]	@emilianchamorro	
NardaLepes	Fri Aug 07 22:38:49 +0000 2020	2	1	@emilianchamorro Se sigue.	https://twitter.com/NardaLepes/status/1291866413074874369	[]	@emilianchamorro	
NardaLepes	Fri Aug 07 17:46:55 +0000 2020	5	0	@emilianchamorro Re	https://twitter.com/NardaLepes/status/1291792954605142016	[]	@emilianchamorro	
NardaLepes	Fri Aug 07 14:17:26 +0000 2020	36	3	Si tengo menos vale ? 48 https://t.co/zP0SdodyEk	https://twitter.com/NardaLepes/status/1291740235731214338	[]		
NardaLepes	Fri Aug 07 00:42:52 +0000 2020	3	0	@florenciaypunto @margambina O cortala en laminas finas, fuego bajo, y que se cocinen bien. Dorado claro, lonseparas y guardas en el freezer o heladera. Para salsa, tarta, relleno, etc.	https://twitter.com/NardaLepes/status/1291535243745386496	[]	@florenciaypunto	
NardaLepes	Thu Aug 06 21:32:27 +0000 2020	8	1	@Nicovisne Para eso estan las conservas. Y en otras latitudes naranjas y tomates se encuentran...	https://twitter.com/NardaLepes/status/1291487322949681158	[]	@Nicovisne	
NardaLepes	Thu Aug 06 18:18:24 +0000 2020	16	1	@Paupelos Lo estoy!! Bajate la app! https://t.co/PJ9L31nKdl	https://twitter.com/NardaLepes/status/1291438489792372736	[]	@Paupelos	
NardaLepes	Thu Aug 06 14:01:17 +0000 2020	14	1	@emilianchamorro Numeralos. #chamotips	https://twitter.com/NardaLepes/status/1291373785476730880	[{'text': 'chamotips', 'indices': [28, 38]}]	@emilianchamorro	#chamotips
NardaLepes	Thu Aug 06 14:00:49 +0000 2020	4	1	@emilianchamorro Claro	https://twitter.com/NardaLepes/status/1291373667964858370	[]	@emilianchamorro	
NardaLepes	Wed Aug 05 23:40:21 +0000 2020	2	0	@EdgarNunezM @azucenau @Milenio Por eso no use la palabra industria. 😅	https://twitter.com/NardaLepes/status/1291157125482319872	[]	@EdgarNunezM	
NardaLepes	Wed Aug 05 21:40:47 +0000 2020	2	1	@EdgarNunezM @azucenau @Milenio Edgar, si  tiene el reemplazo sintetizado y mas barato del producto real es chatarra. Lo sabemos.	https://twitter.com/NardaLepes/status/1291127035289636864	[]	@EdgarNunezM	
NardaLepes	Wed Aug 05 21:39:33 +0000 2020	2	1	@workforfood Not even looking i know is HER.	https://twitter.com/NardaLepes/status/1291126721920598017	[]	@workforfood	
NardaLepes	Wed Aug 05 18:12:47 +0000 2020	3	0	@rusosnith Es mas machaca ajo tambien, y mete	https://twitter.com/NardaLepes/status/1291074689750765569	[]	@rusosnith	
NardaLepes	Wed Aug 05 17:48:45 +0000 2020	16	1	@rusosnith Usa hoy fresco un poco.  Diseca al sol. Y congela con aceite machacado el resto.	https://twitter.com/NardaLepes/status/1291068641841225728	[]	@rusosnith	
NardaLepes	Wed Aug 05 17:47:28 +0000 2020	5	0	@rayovirtual Yo por oficio pruebo todo, como muy poca carne, omnivora. Pero mi condición es que la digestión sea copada. Hay mucho experimental que cae pésimo.	https://twitter.com/NardaLepes/status/1291068317210423296	[]	@rayovirtual	
NardaLepes	Wed Aug 05 17:28:59 +0000 2020	1	0	@rayovirtual Coinsido, pero hay gente que los compra x eso.  Y otra que no los compra x esa misma razon. Hay cosas ricas, otras terribles.	https://twitter.com/NardaLepes/status/1291063665249210371	[]	@rayovirtual	
NardaLepes	Wed Aug 05 17:06:37 +0000 2020	0	0	@lele_lester En primavera!	https://twitter.com/NardaLepes/status/1291058038502297600	[]	@lele_lester	
NardaLepes	Mon Aug 03 23:51:12 +0000 2020	1	0	@arihergott @fjarach @FlorHalfon Snooke quedo raro, sin historia, no entendi. O dame mas o sacalo...	https://twitter.com/NardaLepes/status/1290435076984123393	[]	@arihergott	
NardaLepes	Mon Aug 03 23:50:02 +0000 2020	1	0	@arihergott @fjarach @FlorHalfon Palpatine se saco los mocasines rojos y renuncio.	https://twitter.com/NardaLepes/status/1290434786138509312	[]	@arihergott	
NardaLepes	Mon Aug 03 23:05:29 +0000 2020	0	0	@arihergott @FlorHalfon En que orden Ari ? De salida o x numero?	https://twitter.com/NardaLepes/status/1290423573752971266	[]	@arihergott	
NardaLepes	Mon Aug 03 23:02:49 +0000 2020	39	1	Gracias... 🌸 https://t.co/XMga1PM6FF	https://twitter.com/NardaLepes/status/1290422903364825088	[]		
NardaLepes	Mon Aug 03 12:43:58 +0000 2020	45	1	@norabar Nora, Ayer hablamos con un chef vasco,  una clienta , 34 años, tuvo covid, casi sin sintomas. No tiene gusto y olfato hace 4 meses. No siente gusto a nada. Muchos efectoscolaterales raros. Hay algo para leer?	https://twitter.com/NardaLepes/status/1290267163585110016	[]	@norabar	
NardaLepes	Mon Aug 03 12:28:34 +0000 2020	28	0	@FlorHalfon Jodete... o envidia para poder verlas por primera vez ❤️ Si en vez de boquear, las vas a ver , llamame antes!	https://twitter.com/NardaLepes/status/1290263287012237313	[]	@FlorHalfon	
NardaLepes	Sun Aug 02 23:16:17 +0000 2020	21	0	@dzapatillas Lei : twiteros abominables ... jajaj	https://twitter.com/NardaLepes/status/1290063902273712128	[]	@dzapatillas	
NardaLepes	Sun Aug 02 19:39:39 +0000 2020	6	1	@Nachoones Gracias!	https://twitter.com/NardaLepes/status/1290009387499532288	[]	@Nachoones	
NardaLepes	Sat Aug 01 18:21:11 +0000 2020	17	1	@manamalant Perejil de hoja muy grande parece	https://twitter.com/NardaLepes/status/1289627250892009472	[]	@manamalant	
NardaLepes	Sat Aug 01 17:55:27 +0000 2020	3	0	@edmundogs @sebalidijover Luz de baños con tubos imposibles, inodoro, licuadora, heladera,	https://twitter.com/NardaLepes/status/1289620774395887616	[]	@edmundogs	
NardaLepes	Sat Aug 01 17:54:24 +0000 2020	5	1	@LauraCaggia A mi , nodulos chequeaste ?	https://twitter.com/NardaLepes/status/1289620510704246784	[]	@LauraCaggia	
NardaLepes	Fri Jul 31 21:33:27 +0000 2020	8	1	@JMEtcheverrito Espera para ir! No hagamos turismo ahi ahora que tienen que trabajar! Ya iremos todos juntoa!	https://twitter.com/NardaLepes/status/1289313248437661696	[]	@JMEtcheverrito	
NardaLepes	Fri Jul 31 19:29:58 +0000 2020	351	9	Bien el archivo! Hace un monton! https://t.co/qmmfafq8cQ	https://twitter.com/NardaLepes/status/1289282175305572352	[]		
NardaLepes	Fri Jul 31 12:29:45 +0000 2020	1	0	@sylviaboccardo Gracias!!!	https://twitter.com/NardaLepes/status/1289176420673978370	[]	@sylviaboccardo	
NardaLepes	Fri Jul 31 11:26:53 +0000 2020	3	1	@ugemitch Mate ? Te?	https://twitter.com/NardaLepes/status/1289160599960563712	[]	@ugemitch	
NardaLepes	Fri Jul 31 02:37:39 +0000 2020	14	1	@matiask @CariPert Hermoso	https://twitter.com/NardaLepes/status/1289027416061628416	[]	@matiask	
NardaLepes	Fri Jul 31 02:29:35 +0000 2020	1	0	@LeoCasasBonitas No para nada. Yo no la haria ni loca. Comé comida, te van a poner nutrientes en pomo. Y las porciones son otra trampa.	https://twitter.com/NardaLepes/status/1289025387520040961	[]	@LeoCasasBonitas	
NardaLepes	Thu Jul 30 16:41:11 +0000 2020	5	0	@solegirardi Chapabamos?	https://twitter.com/NardaLepes/status/1288877309118881793	[]	@solegirardi	
NardaLepes	Thu Jul 30 16:34:55 +0000 2020	26	1	@ramiroagulla1 Lo viste hinchado de corticoides ? Diciendo que no estaba tomando nada ?	https://twitter.com/NardaLepes/status/1288875731108401154	[]	@ramiroagulla1	
NardaLepes	Thu Jul 30 12:00:00 +0000 2020	1	0	@edmundogs @SCMPNews 100%	https://twitter.com/NardaLepes/status/1288806548039446528	[]	@edmundogs	
NardaLepes	Thu Jul 30 11:58:35 +0000 2020	1	1	@JuanchiOK Feliz cumple	https://twitter.com/NardaLepes/status/1288806191439794176	[]	@JuanchiOK	
